Reg 0 - Cid 0: menor: 0, maior: 100, mediana: 44.00, média: 50.03 e DP: 28.55
Reg 0 - Cid 98: menor: 1, maior: 100, mediana: 48.00, média: 49.48 e DP: 29.68
Reg 0 - Cid 99: menor: 0, maior: 100, mediana: 41.00, média: 46.42 e DP: 29.99
Reg 0 - menor: 0, maior: 100, mediana: 105.00, média: 14.86 e DP: 0.00

Reg 1 - Cid 0: menor: 2, maior: 99, mediana: 39.00, média: 45.17 e DP: 27.94
Reg 1 - Cid 1: menor: 0, maior: 93, mediana: 49.00, média: 47.56 e DP: 25.16
Reg 1 - Cid 2: menor: 0, maior: 99, mediana: 50.00, média: 48.88 e DP: 28.00
Reg 1 - Cid 3: menor: 2, maior: 99, mediana: 52.50, média: 50.13 e DP: 28.68
Reg 1 - Cid 4: menor: 0, maior: 100, mediana: 52.00, média: 48.54 e DP: 30.08
Reg 1 - Cid 5: menor: 1, maior: 100, mediana: 48.00, média: 50.41 e DP: 28.81
Reg 1 - Cid 6: menor: 0, maior: 100, mediana: 52.50, média: 49.64 e DP: 28.59
Reg 1 - Cid 7: menor: 0, maior: 98, mediana: 53.50, média: 53.82 e DP: 28.48
Reg 1 - Cid 8: menor: 0, maior: 100, mediana: 43.00, média: 46.95 e DP: 31.63
Reg 1 - Cid 9: menor: 1, maior: 100, mediana: 59.50, média: 57.76 e DP: 27.99
Reg 1 - Cid 10: menor: 1, maior: 100, mediana: 48.50, média: 50.86 e DP: 29.97
Reg 1 - Cid 11: menor: 1, maior: 100, mediana: 52.00, média: 51.83 e DP: 29.26
Reg 1 - Cid 12: menor: 1, maior: 100, mediana: 57.50, média: 53.43 e DP: 29.91
Reg 1 - Cid 13: menor: 1, maior: 100, mediana: 51.00, média: 48.74 e DP: 26.82
Reg 1 - Cid 14: menor: 3, maior: 100, mediana: 54.50, média: 53.64 e DP: 29.27
Reg 1 - Cid 15: menor: 1, maior: 99, mediana: 45.50, média: 47.92 e DP: 28.53
Reg 1 - Cid 16: menor: 3, maior: 100, mediana: 45.00, média: 46.71 e DP: 29.98
Reg 1 - Cid 17: menor: 3, maior: 100, mediana: 56.00, média: 53.77 e DP: 29.92
Reg 1 - Cid 18: menor: 0, maior: 100, mediana: 55.50, média: 52.52 e DP: 29.85
Reg 1 - Cid 19: menor: 0, maior: 99, mediana: 58.00, média: 54.29 e DP: 30.84
Reg 1 - Cid 20: menor: 1, maior: 100, mediana: 50.00, média: 52.39 e DP: 27.24
Reg 1 - Cid 21: menor: 0, maior: 100, mediana: 51.50, média: 52.53 e DP: 28.22
Reg 1 - Cid 22: menor: 1, maior: 98, mediana: 51.50, média: 50.37 e DP: 27.39
Reg 1 - Cid 23: menor: 3, maior: 99, mediana: 53.00, média: 54.65 e DP: 28.90
Reg 1 - Cid 24: menor: 1, maior: 100, mediana: 52.00, média: 49.93 e DP: 26.27
Reg 1 - Cid 25: menor: 1, maior: 97, mediana: 61.00, média: 57.39 e DP: 27.43
Reg 1 - Cid 26: menor: 0, maior: 98, mediana: 47.00, média: 47.22 e DP: 28.55
Reg 1 - Cid 27: menor: 0, maior: 99, mediana: 49.00, média: 48.06 e DP: 28.62
Reg 1 - Cid 28: menor: 1, maior: 99, mediana: 58.00, média: 52.63 e DP: 29.74
Reg 1 - Cid 29: menor: 0, maior: 98, mediana: 45.50, média: 48.63 e DP: 26.74
Reg 1 - Cid 30: menor: 1, maior: 98, mediana: 48.00, média: 47.33 e DP: 28.57
Reg 1 - Cid 31: menor: 0, maior: 99, mediana: 50.00, média: 50.26 e DP: 29.58
Reg 1 - Cid 32: menor: 0, maior: 100, mediana: 54.50, média: 51.31 e DP: 28.89
Reg 1 - Cid 33: menor: 0, maior: 100, mediana: 56.50, média: 52.81 e DP: 28.28
Reg 1 - Cid 34: menor: 0, maior: 99, mediana: 55.50, média: 51.23 e DP: 31.27
Reg 1 - Cid 35: menor: 0, maior: 100, mediana: 54.50, média: 49.96 e DP: 30.04
Reg 1 - Cid 36: menor: 0, maior: 100, mediana: 43.00, média: 45.30 e DP: 29.39
Reg 1 - Cid 37: menor: 2, maior: 100, mediana: 56.00, média: 53.90 e DP: 29.60
Reg 1 - Cid 38: menor: 0, maior: 99, mediana: 60.50, média: 54.22 e DP: 30.88
Reg 1 - Cid 39: menor: 0, maior: 100, mediana: 50.50, média: 49.34 e DP: 29.23
Reg 1 - Cid 40: menor: 0, maior: 100, mediana: 51.50, média: 50.97 e DP: 29.82
Reg 1 - Cid 41: menor: 0, maior: 100, mediana: 54.00, média: 51.19 e DP: 30.65
Reg 1 - Cid 42: menor: 1, maior: 100, mediana: 45.00, média: 48.04 e DP: 26.08
Reg 1 - Cid 43: menor: 0, maior: 100, mediana: 50.00, média: 51.22 e DP: 28.96
Reg 1 - Cid 44: menor: 0, maior: 100, mediana: 48.50, média: 48.86 e DP: 28.33
Reg 1 - Cid 45: menor: 1, maior: 100, mediana: 54.00, média: 52.20 e DP: 29.59
Reg 1 - Cid 46: menor: 0, maior: 98, mediana: 54.50, média: 50.08 e DP: 29.35
Reg 1 - Cid 47: menor: 1, maior: 100, mediana: 45.00, média: 46.88 e DP: 28.33
Reg 1 - Cid 48: menor: 0, maior: 100, mediana: 48.50, média: 48.77 e DP: 26.80
Reg 1 - Cid 49: menor: 2, maior: 100, mediana: 48.50, média: 48.93 e DP: 29.75
Reg 1 - Cid 50: menor: 1, maior: 100, mediana: 47.00, média: 49.05 e DP: 28.16
Reg 1 - Cid 51: menor: 0, maior: 100, mediana: 48.50, média: 48.22 e DP: 29.03
Reg 1 - Cid 52: menor: 1, maior: 100, mediana: 55.00, média: 53.68 e DP: 27.86
Reg 1 - Cid 53: menor: 0, maior: 100, mediana: 49.00, média: 49.85 e DP: 30.54
Reg 1 - Cid 54: menor: 2, maior: 97, mediana: 51.50, média: 49.56 e DP: 27.27
Reg 1 - Cid 55: menor: 1, maior: 99, mediana: 53.50, média: 51.06 e DP: 27.42
Reg 1 - Cid 56: menor: 0, maior: 100, mediana: 35.00, média: 42.08 e DP: 30.12
Reg 1 - Cid 57: menor: 5, maior: 99, mediana: 55.00, média: 56.08 e DP: 27.50
Reg 1 - Cid 58: menor: 2, maior: 99, mediana: 43.50, média: 47.18 e DP: 28.86
Reg 1 - Cid 59: menor: 0, maior: 100, mediana: 53.50, média: 52.74 e DP: 28.22
Reg 1 - Cid 60: menor: 2, maior: 98, mediana: 47.00, média: 47.22 e DP: 27.53
Reg 1 - Cid 61: menor: 0, maior: 99, mediana: 45.50, média: 46.37 e DP: 28.64
Reg 1 - Cid 62: menor: 0, maior: 100, mediana: 49.00, média: 50.80 e DP: 29.60
Reg 1 - Cid 63: menor: 1, maior: 100, mediana: 51.00, média: 49.99 e DP: 29.07
Reg 1 - Cid 64: menor: 1, maior: 100, mediana: 49.00, média: 50.83 e DP: 30.76
Reg 1 - Cid 65: menor: 3, maior: 100, mediana: 58.50, média: 55.10 e DP: 28.91
Reg 1 - Cid 66: menor: 0, maior: 100, mediana: 51.50, média: 51.98 e DP: 28.36
Reg 1 - Cid 67: menor: 0, maior: 100, mediana: 55.50, média: 52.57 e DP: 27.48
Reg 1 - Cid 68: menor: 0, maior: 100, mediana: 49.50, média: 47.82 e DP: 29.70
Reg 1 - Cid 69: menor: 0, maior: 99, mediana: 46.50, média: 49.38 e DP: 29.99
Reg 1 - Cid 70: menor: 4, maior: 100, mediana: 50.50, média: 50.93 e DP: 30.09
Reg 1 - Cid 71: menor: 0, maior: 100, mediana: 49.50, média: 51.49 e DP: 29.92
Reg 1 - Cid 72: menor: 1, maior: 100, mediana: 51.50, média: 50.77 e DP: 29.18
Reg 1 - Cid 73: menor: 0, maior: 99, mediana: 47.00, média: 47.56 e DP: 28.61
Reg 1 - Cid 74: menor: 2, maior: 100, mediana: 58.00, média: 53.30 e DP: 29.85
Reg 1 - Cid 75: menor: 0, maior: 100, mediana: 46.00, média: 46.55 e DP: 29.30
Reg 1 - Cid 76: menor: 0, maior: 100, mediana: 50.50, média: 52.37 e DP: 28.67
Reg 1 - Cid 77: menor: 0, maior: 99, mediana: 46.50, média: 47.55 e DP: 27.83
Reg 1 - Cid 78: menor: 1, maior: 100, mediana: 57.00, média: 53.53 e DP: 31.39
Reg 1 - Cid 79: menor: 0, maior: 100, mediana: 50.50, média: 49.96 e DP: 28.96
Reg 1 - Cid 80: menor: 0, maior: 100, mediana: 54.00, média: 50.56 e DP: 29.10
Reg 1 - Cid 81: menor: 0, maior: 100, mediana: 51.50, média: 51.13 e DP: 29.90
Reg 1 - Cid 82: menor: 0, maior: 98, mediana: 51.00, média: 49.46 e DP: 28.72
Reg 1 - Cid 83: menor: 0, maior: 100, mediana: 52.00, média: 51.32 e DP: 29.89
Reg 1 - Cid 84: menor: 3, maior: 100, mediana: 54.00, média: 51.25 e DP: 28.06
Reg 1 - Cid 85: menor: 1, maior: 100, mediana: 48.00, média: 48.12 e DP: 30.32
Reg 1 - Cid 86: menor: 1, maior: 100, mediana: 47.00, média: 49.06 e DP: 25.92
Reg 1 - Cid 87: menor: 0, maior: 99, mediana: 47.50, média: 47.81 e DP: 28.23
Reg 1 - Cid 88: menor: 0, maior: 99, mediana: 41.00, média: 45.90 e DP: 27.43
Reg 1 - Cid 89: menor: 2, maior: 100, mediana: 63.50, média: 57.74 e DP: 27.97
Reg 1 - Cid 90: menor: 2, maior: 100, mediana: 59.00, média: 52.48 e DP: 28.43
Reg 1 - Cid 91: menor: 1, maior: 98, mediana: 49.50, média: 49.90 e DP: 27.11
Reg 1 - Cid 92: menor: 1, maior: 100, mediana: 47.00, média: 46.29 e DP: 27.81
Reg 1 - Cid 93: menor: 1, maior: 100, mediana: 48.00, média: 48.25 e DP: 30.13
Reg 1 - Cid 94: menor: 0, maior: 99, mediana: 38.50, média: 44.86 e DP: 29.05
Reg 1 - Cid 95: menor: 0, maior: 100, mediana: 47.50, média: 49.60 e DP: 27.26
Reg 1 - Cid 96: menor: 0, maior: 100, mediana: 49.00, média: 52.01 e DP: 28.30
Reg 1 - Cid 97: menor: 1, maior: 98, mediana: 53.00, média: 51.73 e DP: 27.54
Reg 1 - Cid 98: menor: 0, maior: 100, mediana: 50.00, média: 49.05 e DP: 29.29
Reg 1 - Cid 99: menor: 0, maior: 100, mediana: 53.50, média: 49.36 e DP: 29.11
Reg 1 - menor: 0, maior: 100, mediana: 31.00, média: 79.90 e DP: 0.00

Reg 2 - Cid 0: menor: 0, maior: 100, mediana: 43.00, média: 46.33 e DP: 29.80
Reg 2 - Cid 1: menor: 0, maior: 100, mediana: 49.00, média: 49.25 e DP: 26.54
Reg 2 - Cid 2: menor: 2, maior: 100, mediana: 49.00, média: 49.88 e DP: 27.67
Reg 2 - Cid 3: menor: 0, maior: 100, mediana: 45.50, média: 45.28 e DP: 30.67
Reg 2 - Cid 4: menor: 1, maior: 100, mediana: 56.00, média: 52.95 e DP: 28.98
Reg 2 - Cid 5: menor: 0, maior: 100, mediana: 43.00, média: 44.94 e DP: 29.92
Reg 2 - Cid 6: menor: 1, maior: 99, mediana: 46.50, média: 48.08 e DP: 30.04
Reg 2 - Cid 7: menor: 0, maior: 99, mediana: 48.00, média: 50.39 e DP: 27.23
Reg 2 - Cid 8: menor: 1, maior: 100, mediana: 47.00, média: 49.10 e DP: 28.32
Reg 2 - Cid 9: menor: 2, maior: 98, mediana: 50.00, média: 48.92 e DP: 27.72
Reg 2 - Cid 10: menor: 0, maior: 100, mediana: 52.50, média: 49.93 e DP: 33.72
Reg 2 - Cid 11: menor: 0, maior: 100, mediana: 48.00, média: 47.91 e DP: 28.58
Reg 2 - Cid 12: menor: 0, maior: 99, mediana: 51.50, média: 51.36 e DP: 28.14
Reg 2 - Cid 13: menor: 0, maior: 99, mediana: 47.50, média: 49.59 e DP: 27.56
Reg 2 - Cid 14: menor: 0, maior: 100, mediana: 54.50, média: 53.73 e DP: 30.21
Reg 2 - Cid 15: menor: 1, maior: 99, mediana: 59.00, média: 56.16 e DP: 29.35
Reg 2 - Cid 16: menor: 0, maior: 98, mediana: 44.00, média: 46.15 e DP: 30.24
Reg 2 - Cid 17: menor: 0, maior: 100, mediana: 48.00, média: 48.08 e DP: 31.04
Reg 2 - Cid 18: menor: 0, maior: 98, mediana: 44.00, média: 44.80 e DP: 28.22
Reg 2 - Cid 19: menor: 0, maior: 100, mediana: 55.00, média: 50.18 e DP: 30.18
Reg 2 - Cid 20: menor: 1, maior: 100, mediana: 48.50, média: 49.27 e DP: 30.35
Reg 2 - Cid 21: menor: 0, maior: 100, mediana: 38.00, média: 44.15 e DP: 29.34
Reg 2 - Cid 22: menor: 1, maior: 100, mediana: 44.00, média: 47.02 e DP: 30.10
Reg 2 - Cid 23: menor: 1, maior: 100, mediana: 53.00, média: 51.94 e DP: 30.69
Reg 2 - Cid 24: menor: 1, maior: 99, mediana: 52.50, média: 49.07 e DP: 29.59
Reg 2 - Cid 25: menor: 0, maior: 98, mediana: 53.50, média: 52.18 e DP: 26.82
Reg 2 - Cid 26: menor: 1, maior: 97, mediana: 54.00, média: 52.59 e DP: 28.75
Reg 2 - Cid 27: menor: 0, maior: 100, mediana: 47.50, média: 51.95 e DP: 28.37
Reg 2 - Cid 28: menor: 2, maior: 100, mediana: 55.50, média: 50.21 e DP: 26.86
Reg 2 - Cid 29: menor: 0, maior: 100, mediana: 52.50, média: 51.71 e DP: 28.00
Reg 2 - Cid 30: menor: 0, maior: 100, mediana: 48.50, média: 48.94 e DP: 30.83
Reg 2 - Cid 31: menor: 0, maior: 100, mediana: 58.00, média: 54.63 e DP: 30.02
Reg 2 - Cid 32: menor: 0, maior: 100, mediana: 48.50, média: 49.25 e DP: 27.17
Reg 2 - Cid 33: menor: 1, maior: 100, mediana: 51.50, média: 51.77 e DP: 28.15
Reg 2 - Cid 34: menor: 0, maior: 100, mediana: 52.00, média: 50.93 e DP: 29.96
Reg 2 - Cid 35: menor: 0, maior: 99, mediana: 49.50, média: 49.90 e DP: 29.41
Reg 2 - Cid 36: menor: 0, maior: 100, mediana: 44.50, média: 49.26 e DP: 28.46
Reg 2 - Cid 37: menor: 3, maior: 100, mediana: 45.00, média: 48.99 e DP: 29.77
Reg 2 - Cid 38: menor: 0, maior: 100, mediana: 53.50, média: 52.42 e DP: 28.01
Reg 2 - Cid 39: menor: 1, maior: 98, mediana: 50.00, média: 47.70 e DP: 31.04
Reg 2 - Cid 40: menor: 1, maior: 99, mediana: 43.00, média: 48.00 e DP: 28.78
Reg 2 - Cid 41: menor: 4, maior: 99, mediana: 54.50, média: 55.68 e DP: 27.96
Reg 2 - Cid 42: menor: 0, maior: 100, mediana: 47.00, média: 48.36 e DP: 27.91
Reg 2 - Cid 43: menor: 1, maior: 100, mediana: 44.50, média: 47.84 e DP: 29.51
Reg 2 - Cid 44: menor: 1, maior: 98, mediana: 52.50, média: 51.74 e DP: 29.24
Reg 2 - Cid 45: menor: 0, maior: 99, mediana: 49.50, média: 49.45 e DP: 28.97
Reg 2 - Cid 46: menor: 1, maior: 100, mediana: 46.50, média: 47.82 e DP: 26.91
Reg 2 - Cid 47: menor: 0, maior: 100, mediana: 54.00, média: 50.97 e DP: 31.45
Reg 2 - Cid 48: menor: 0, maior: 100, mediana: 56.00, média: 50.71 e DP: 28.47
Reg 2 - Cid 49: menor: 1, maior: 100, mediana: 49.00, média: 51.66 e DP: 29.20
Reg 2 - Cid 50: menor: 0, maior: 100, mediana: 46.50, média: 48.87 e DP: 29.86
Reg 2 - Cid 51: menor: 1, maior: 100, mediana: 47.50, média: 47.04 e DP: 26.00
Reg 2 - Cid 52: menor: 2, maior: 98, mediana: 51.50, média: 52.81 e DP: 27.24
Reg 2 - Cid 53: menor: 1, maior: 100, mediana: 51.50, média: 52.39 e DP: 29.06
Reg 2 - Cid 54: menor: 0, maior: 99, mediana: 51.00, média: 49.57 e DP: 30.34
Reg 2 - Cid 55: menor: 0, maior: 100, mediana: 46.00, média: 46.61 e DP: 27.78
Reg 2 - Cid 56: menor: 0, maior: 100, mediana: 49.00, média: 48.39 e DP: 27.60
Reg 2 - Cid 57: menor: 0, maior: 100, mediana: 49.00, média: 49.33 e DP: 29.22
Reg 2 - Cid 58: menor: 2, maior: 100, mediana: 58.00, média: 56.46 e DP: 27.47
Reg 2 - Cid 59: menor: 0, maior: 100, mediana: 45.50, média: 48.06 e DP: 30.10
Reg 2 - Cid 60: menor: 1, maior: 100, mediana: 45.50, média: 47.06 e DP: 30.32
Reg 2 - Cid 61: menor: 0, maior: 100, mediana: 44.00, média: 45.93 e DP: 30.46
Reg 2 - Cid 62: menor: 0, maior: 100, mediana: 41.50, média: 47.01 e DP: 30.88
Reg 2 - Cid 63: menor: 0, maior: 100, mediana: 52.50, média: 49.71 e DP: 27.78
Reg 2 - Cid 64: menor: 3, maior: 100, mediana: 46.00, média: 48.27 e DP: 27.64
Reg 2 - Cid 65: menor: 0, maior: 100, mediana: 55.00, média: 53.29 e DP: 28.28
Reg 2 - Cid 66: menor: 0, maior: 100, mediana: 51.00, média: 52.12 e DP: 29.78
Reg 2 - Cid 67: menor: 1, maior: 100, mediana: 53.00, média: 51.12 e DP: 28.05
Reg 2 - Cid 68: menor: 1, maior: 100, mediana: 55.00, média: 54.09 e DP: 29.12
Reg 2 - Cid 69: menor: 0, maior: 100, mediana: 43.50, média: 46.93 e DP: 31.34
Reg 2 - Cid 70: menor: 1, maior: 100, mediana: 59.00, média: 55.45 e DP: 30.31
Reg 2 - Cid 71: menor: 0, maior: 99, mediana: 51.50, média: 50.35 e DP: 28.77
Reg 2 - Cid 72: menor: 0, maior: 100, mediana: 51.00, média: 50.79 e DP: 29.69
Reg 2 - Cid 73: menor: 0, maior: 99, mediana: 57.50, média: 52.68 e DP: 29.81
Reg 2 - Cid 74: menor: 4, maior: 99, mediana: 46.50, média: 48.85 e DP: 29.37
Reg 2 - Cid 75: menor: 0, maior: 99, mediana: 56.50, média: 50.96 e DP: 29.82
Reg 2 - Cid 76: menor: 1, maior: 99, mediana: 52.00, média: 48.33 e DP: 28.76
